Alligator mississippiensis,reptile,
Alligator sinensis,reptile,
Amazona aestiva,bird,
Anas platyrhynchos,bird,
Anolis carolinensis,reptile,
Aptenodytes forsteri,bird,
Astyanax mexicanus,fish,
Austrofundulus limnaeus,fish,
Calypte anna,bird,
Charadrius vociferus,bird,
Colinus virginianus,bird,
Columba livia,bird,
Corvus brachyrhynchos,bird,
Cuculus canorus,bird,
Danio rerio,fish,
Dryobates pubescens,bird,
Egretta garzetta,bird,
Ficedula albicollis,bird,
Gallus gallus,bird,
Gasterosteus aculeatus,fish,
Ictalurus punctatus,fish,
Latimeria chalumnae,fish,
Lepisosteus oculatus,fish,
Lonchura striata domestica,bird,
Manacus vitellinus,bird,
Meleagris gallopavo,bird,
Nipponia nippon,bird,
Oncorhynchus mykiss,fish,
Opisthocomus hoazin,bird,
Oreochromis niloticus,fish,
Oryzias latipes,fish,
Patagioenas fasciata monilis,bird,
Pelodiscus sinensis,reptile,
Poecilia formosa,fish,
Salmo salar,fish,
Scleropages formosus,fish,
Scophthalmus maximus,fish,
Struthio camelus australis,bird,
Taeniopygia guttata,bird,
Takifugu rubripes,fish,
Tetraodon nigroviridis,fish,
Tinamus guttatus,bird,
Xenopus laevis,amphibian,
Xenopus tropicalis,amphibian,
Xiphophorus maculatus,fish,
,,
Homo sapiens,Mammalian,Primate
Pan paniscus,Mammalian,Primate
Pan troglodytes,Mammalian,Primate
Gorilla gorilla gorilla,Mammalian,Primate
Chlorocebus sabaeus,Mammalian,Primate
Cercocebus atys,Mammalian,Primate
Papio anubis,Mammalian,Primate
Mandrillus leucophaeus,Mammalian,Primate
Macaca nemestrina,Mammalian,Primate
Macaca fascicularis,Mammalian,Primate
Macaca mulatta,Mammalian,Primate
Nomascus leucogenys,Mammalian,Primate
Callithrix jacchus,Mammalian,Primate
Tarsius syrichta,Mammalian,Primate
Loxodonta africana,Mammalian,
Trichechus manatus latirostris,Mammalian,
Otolemur garnettii,Mammalian,Primate
Oryctolagus cuniculus,Mammalian,
Ictidomys tridecemlineatus,Mammalian,
Cavia porcellus,Mammalian,
Fukomys damarensis,Mammalian,
Heterocephalus glaber,Mammalian,
Dipodomys ordii,Mammalian,
Cricetulus griseus,Mammalian,
Rattus norvegicus,Mammalian,
Mus musculus,Mammalian,
Erinaceus europaeus,Mammalian,
Myotis lucifugus,Mammalian,
Sus scrofa,Mammalian,
Bos taurus,Mammalian,
Ovis aries,Mammalian,
Physeter catodon,Mammalian,
Balaenoptera acutorostrata scammoni,Mammalian,
Delphinapterus leucas,Mammalian,
Tursiops truncatus,Mammalian,
Equus caballus,Mammalian,
Felis catus,Mammalian,
Leptonychotes weddellii,Mammalian,
Odobenus rosmarus divergens,Mammalian,
Enhydra lutris kenyoni,Mammalian,
Mustela putorius furo,Mammalian,
Canis lupus familiaris,Mammalian,
Ursus maritimus,Mammalian,
Ailuropoda melanoleuca,Mammalian,
Pteropus alecto,Mammalian,
Monodelphis domestica,Mammalian,Marsupial
Pelodiscus sinensis,reptile,
Anolis carolinensis,reptile,
Alligator sinensis,reptile,
Alligator mississippiensis,reptile,
Struthio camelus australis,bird,
Anas platyrhynchos,bird,
Gallus gallus,bird,
Colinus virginianus,bird,
Meleagris gallopavo,bird,
Charadrius vociferus,bird,
Egretta garzetta,bird,
Patagioenas fasciata monilis,bird,
Columba livia,bird,
Nipponia nippon,bird,
Opisthocomus hoazin,bird,
Amazona aestiva,bird,
Cuculus canorus,bird,
Calypte anna,bird,
Dryobates pubescens,bird,
Manacus vitellinus,bird,
Ficedula albicollis,bird,
Corvus brachyrhynchos,bird,
Taeniopygia guttata,bird,
Lepisosteus oculatus,fish,
Scleropages formosus,fish,
Astyanax mexicanus,fish,
Salmo salar,fish,
Gasterosteus aculeatus,fish,
Tetraodon nigroviridis,fish,
Takifugu rubripes,fish,
Scophthalmus maximus,fish,
Oreochromis niloticus,fish,
Oryzias latipes,fish,
Austrofundulus limnaeus,fish,
Xiphophorus maculatus,fish,
Poecilia formosa,fish,
